ANO_BO;NUM_BO;NUMERO_BOLETIM;BO_INICIADO;BO_EMITIDO;DATAOCORRENCIA;HORAOCORRENCIA;PERIDOOCORRENCIA;DATACOMUNICACAO;DATAELABORACAO;BO_AUTORIA;FLAGRANTE;NUMERO_BOLETIM_PRINCIPAL;LOGRADOURO;NUMERO;BAIRRO;CIDADE;UF;LATITUDE;LONGITUDE;DESCRICAOLOCAL;EXAME;SOLUCAO;DELEGACIA_NOME;DELEGACIA_CIRCUNSCRICAO;ESPECIE;RUBRICA;DESDOBRAMENTO;STATUS;TIPOPESSOA;VITIMAFATAL;NATURALIDADE;NACIONALIDADE;SEXO;DATANASCIMENTO;IDADE;ESTADOCIVIL;PROFISSAO;GRAUINSTRUCAO;CORCUTIS;NATUREZAVINCULADA;TIPOVINCULO;RELACIONAMENTO;PARENTESCO;PLACA_VEICULO;UF_VEICULO;CIDADE_VEICULO;DESCR_COR_VEICULO;DESCR_MARCA_VEICULO;ANO_FABRICACAO;ANO_MODELO;DESCR_TIPO_VEICULO;QUANT_CELULAR;MARCA_CELULAR
2021;2528365;2528365/2021;31/12/2021 22:38;01/01/2022 00:06;30/12/2021;08:00;PELA MANHÃ;31/12/2021;31/12/2021 22:38;Desconhecida;Não;;;0;RUDGE RAMOS;S.BERNARDO DO CAMPO;SP;;;Residência;;ENCAMINHAMENTO DP ÁREA DO FATO;DELEGACIA ELETRONICA;02º D.P. S.BERNARDO DO CAMPO;Título II - Patrimônio (arts. 155 a 183);Furto (art. 155) - VEICULO;;Consumado;;;;;;;;;;;;;;;;FKI4218;SP;SÃO BERNARDO DO CAMP;Branco;I/HONDA CIVIC EXL;2013;;AUTOMOVEL;;
2022;9;set/22;01/01/2022 00:36;01/01/2022 01:08;31/12/2021;22:45;A NOITE;01/01/2022;01/01/2022 00:36;Desconhecida;Não;;AVENIDA VITAL BRASIL;1350;VILA MONTEIRO;POA;SP;;;Via pública;;ENCAMINHAMENTO DP ÁREA DO FATO;DELEGACIA ELETRONICA;DEL.SEC.MOGI DAS CRUZES;Título II - Patrimônio (arts. 155 a 183);Furto (art. 155) - VEICULO;;Consumado;;;;;;;;;;;;;;;;QPW2211;SP;POÁ;Branco;CHEV/ONIX JOY;2019;;AUTOMOVEL;;
2022;1;jan/22;01/01/2022 01:33;01/01/2022 01:40;31/12/2021;23:45;A NOITE;01/01/2022;01/01/2022 01:33;Desconhecida;Não;;RUA SÃO DOMINGOS;95;VL JAPÃO;ITAQUAQUECETUBA;SP;-23,46533132;-46,34560004;Via pública;;APRECIAÇÃO DO DELEGADO TITULAR;DEL.POL.ITAQUAQUECETUBA;DEL.POL.ITAQUAQUECETUBA;Título II - Patrimônio (arts. 155 a 183);Furto (art. 155) - VEICULO;;Consumado;;;;;;;;;;;;;;;;DYU1G74;SP;GUARULHOS;Preta;HONDA/CBX 250 TWISTER;2007;2008;MOTOCICLO;;
2022;4;abr/22;01/01/2022 01:27;01/01/2022 02:06;01/01/2022;00:01;DE MADRUGADA;01/01/2022;01/01/2022 01:27;Desconhecida;Não;;AVENIDA LUÍS RINK;1427;IND MAZZEI;OSASCO;SP;-23,50323941;-46,77619101;Via pública;;ENCAMINHAMENTO DP ÁREA DO FATO;05º D.P. OSASCO;03º D.P. OSASCO;Título II - Patrimônio (arts. 155 a 183);Furto (art. 155) - VEICULO;;Consumado;;;;;;;;;;;;;;;;MOV5J48;SP;OSASCO;Amarelo;HONDA/CBX 250 TWISTER;2007;2007;MOTOCICLO;;
2022;117;117/2022;01/01/2022 02:44;01/01/2022 02:42;31/12/2021;23:30;A NOITE;01/01/2022;01/01/2022 02:44;Desconhecida;Não;;ESTRADA NÍCOLA IMPARATO;96;ELDORADO;DIADEMA;SP;-23,72930372;-46,6313923;Via Pública;;BO PARA INVESTIGAÇÃO;DELEGACIA ELETRONICA;04º D.P. DIADEMA;Título II - Patrimônio (arts. 155 a 183);Furto (art. 155) - VEICULO;;Consumado;;;;;;;;;;;;;;;;CUJ8F80;SP;DIADEMA;Azul;YAMAHA/FZ25 FAZER;2019;;MOTOCICLO;;
2022;338;338/2022;01/01/2022 09:01;01/01/2022 09:01;31/12/2021;21:00;A NOITE;01/01/2022;01/01/2022 09:01;Desconhecida;Não;;RUA RIO PINHEIROS;97;VL NELLY;ITAQUAQUECETUBA;SP;-23,47014988;-46,34098668;Via Pública;;BO PARA INVESTIGAÇÃO;DELEGACIA ELETRONICA;DEL.POL.ITAQUAQUECETUBA;Título II - Patrimônio (arts. 155 a 183);Furto (art. 155) - VEICULO;;Consumado;;;;;;;;;;;;;;;;CCX4086;SP;ITAQUAQUECETUBA;Verde;FIAT/UNO 1.0;1995;;AUTOMOVEL;;
2022;624;624/2022;01/01/2022 11:10;01/01/2022 11:09;01/01/2022;04:00;DE MADRUGADA;01/01/2022;01/01/2022 11:10;Desconhecida;Não;;RUA VINTE E DOIS;211;PARQUE PIRATININGA;GUARULHOS;SP;;;Via Pública;;BO PARA INVESTIGAÇÃO;DELEGACIA ELETRONICA;02º D.P. GUARULHOS;Título II - Patrimônio (arts. 155 a 183);Furto (art. 155) - VEICULO;;Consumado;;;;;;;;;;;;;;;;FEM6I83;SP;ITAQUAQUECETUBA;Preta;HONDA/XRE 300;2013;;MOTOCICLO;;
2022;867;867/2022;01/01/2022 12:23;01/01/2022 12:23;01/01/2022;11:40;PELA MANHÃ;01/01/2022;01/01/2022 12:23;Desconhecida;Não;;ESTRADA DOS ALVARENGAS;2417;JD SENHOR DO BONFIM;S.BERNARDO DO CAMPO;SP;-23,740351;-46,598292;Via Pública;;BO PARA INVESTIGAÇÃO;DELEGACIA ELETRONICA;08º D.P. S.BERNARDO DO CAMPO;Título II - Patrimônio (arts. 155 a 183);Furto (art. 155) - VEICULO;;Consumado;;;;;;;;;;;;;;;;JQN6J85;SP;SÃO PAULO;Preta;I/FORD ECOSPORT XLS 1.6L;2006;;AUTOMOVEL;;
2022;933;933/2022;01/01/2022 12:42;01/01/2022 12:42;31/12/2021;18:00;A NOITE;01/01/2022;01/01/2022 12:42;Desconhecida;Não;;RUA OURINHOS;54;PARQUE INDUSTRIAL DAS OLIVEIRAS;TABOAO DA SERRA;SP;-23,6235481;-46,7769866;Via Pública;;BO PARA INVESTIGAÇÃO;DELEGACIA ELETRONICA;01º D.P. TABOÃO DA SERRA;Título II - Patrimônio (arts. 155 a 183);Furto (art. 155) - VEICULO;;Consumado;;;;;;;;;;;;;;;;FIT1992;SP;EMBU DAS ARTES;Branco;FIAT/UNO ELETRONIC;1994;;AUTOMOVEL;;
2022;4;abr/22;01/01/2022 12:26;01/01/2022 12:48;01/01/2022;;EM HORA INCERTA;01/01/2022;01/01/2022 12:26;Desconhecida;Não;;ESTRADA João Gaspar Delgado;80;CIDADE KEMEL;FERRAZ DE VASCONCELOS;SP;-23,51488713;-46,36880898;Via pública;;APRECIAÇÃO DO DELEGADO TITULAR;DEL.POL.FERRAZ DE VASCONCELOS;01º D.P. FERRAZ VASCONCELOS;Localização e/ou Devolução;Localização/Apreensão e Entrega de veículo;;Consumado;;;;;;;;;;;;;;;;;;;;;0;0;;;
