ANO_BO;NUM_BO;NUMERO_BOLETIM;BO_INICIADO;BO_EMITIDO;DATAOCORRENCIA;HORAOCORRENCIA;PERIDOOCORRENCIA;DATACOMUNICACAO;DATAELABORACAO;BO_AUTORIA;FLAGRANTE;NUMERO_BOLETIM_PRINCIPAL;LOGRADOURO;NUMERO;BAIRRO;CIDADE;UF;LATITUDE;LONGITUDE;DESCRICAOLOCAL;EXAME;SOLUCAO;DELEGACIA_NOME;DELEGACIA_CIRCUNSCRICAO;ESPECIE;RUBRICA;DESDOBRAMENTO;STATUS;TIPOPESSOA;VITIMAFATAL;NATURALIDADE;NACIONALIDADE;SEXO;DATANASCIMENTO;IDADE;ESTADOCIVIL;PROFISSAO;GRAUINSTRUCAO;CORCUTIS;NATUREZAVINCULADA;TIPOVINCULO;RELACIONAMENTO;PARENTESCO;PLACA_VEICULO;UF_VEICULO;CIDADE_VEICULO;DESCR_COR_VEICULO;DESCR_MARCA_VEICULO;ANO_FABRICACAO;ANO_MODELO;DESCR_TIPO_VEICULO;QUANT_CELULAR;MARCA_CELULAR
2022;1552998;1552998/2022;01/09/2022 00:15;01/09/2022 00:15;31/08/2022;20:55;A NOITE;31/08/2022;01/09/2022 00:15;Desconhecida;Não;;Avenida Aldino Pinotti;601;Centro;S.BERNARDO DO CAMPO;SP;;;Via pública;;BO PARA INVESTIGAÇÃO;DELEGACIA ELETRONICA;01º D.P. S.B.C-DR OMAR CASSIM;Título II - Patrimônio (arts. 155 a 183);Furto (art. 155) - VEICULO;;Consumado;;;;;;;;;;;;;;;;FZN5C28;SP;S.BERNARDO DO CAMPO;Preta;HONDA/CG 160 FAN;2020;;MOTOCICLO;;
2022;1552999;1552999/2022;01/09/2022 00:18;01/09/2022 00:18;31/08/2022;22:30;A NOITE;31/08/2022;01/09/2022 00:18;Desconhecida;Não;;Avenida Goiás;3144;Barcelona;S.CAETANO DO SUL;SP;-23,6225025;-46,5491214;Via pública;;BO PARA INVESTIGAÇÃO;DELEGACIA ELETRONICA;01º D.P. S.CAETANO DO SUL;Título II - Patrimônio (arts. 155 a 183);Furto (art. 155) - VEICULO;;Consumado;;;;;;;;;;;;;;;;EJD0197;SP;S.PAULO;Prata;I/HYUNDAI TUCSON GL 20L;2008;;AUTOMOVEL;;
2022;1553014;1553014/2022;01/09/2022 00:32;01/09/2022 00:32;31/08/2022;23:10;A NOITE;31/08/2022;01/09/2022 00:32;Desconhecida;Não;;RUA SIDNEI SOARES DE ANDRADE;192;AREA RURAL;CARAPICUIBA;SP;-23,55257639;-46,82352747;Via pública;;BO PARA INVESTIGAÇÃO;DELEGACIA ELETRONICA;02º D.P. CARAPICUIBA;Título II - Patrimônio (arts. 155 a 183);Furto (art. 155) - VEICULO;;Consumado;;;;;;;;;;;;;;;;EJE0E49;SP;OSASCO;Prata;HONDA/BIZ 125;2020;;MOTOCICLO;;
2022;1553271;1553271/2022;01/09/2022 02:09;01/09/2022 02:10;31/08/2022;23:40;A NOITE;01/09/2022;01/09/2022 02:09;Desconhecida;Não;;RUA OTÁVIO FORGHIERE;204;CENTRO;GUARULHOS;SP;-23,46743427;-46,53403242;Via pública;;BO PARA INVESTIGAÇÃO;DELEGACIA ELETRONICA;01º D.P. GUARULHOS;Título II - Patrimônio (arts. 155 a 183);Furto (art. 155) - VEICULO;;Consumado;;;;;;;;;;;;;;;;ELI1E52;SP;GUARULHOS;Branco;FIAT/MOBI LIKE;2019;;AUTOMOVEL;;
2022;1553278;1553278/2022;01/09/2022 02:14;01/09/2022 02:14;31/08/2022;17:00;A TARDE;01/09/2022;01/09/2022 02:14;Desconhecida;Não;;AVENIDA TIBIRIÇÁ;350;VILA HOMERO THON;S.ANDRE;SP;-23,66611414;-46,50214281;Estacionamento público;;BO PARA INVESTIGAÇÃO;DELEGACIA ELETRONICA;03º D.P. SANTO ANDRÉ;Título II - Patrimônio (arts. 155 a 183);Furto (art. 155) - VEICULO;;Consumado;;;;;;;;;;;;;;;;FON3611;SP;S.ANDRE;Branco;HONDA/CITY EX CVT;2015;;AUTOMOVEL;;
2022;1537401;1537401/2022;01/09/2022 04:39;01/09/2022 04:39;29/08/2022;04:10;DE MADRUGADA;29/08/2022;01/09/2022 04:39;Desconhecida;Não;1537400/2022 - 900020;RETORNO RUA NHAMBUCA;0;ZONA RURAL;COTIA;SP;-23,68350818;-47,05103709;Via pública;;APRECIAÇÃO DO DELEGADO TITULAR;DELEGACIA ELETRONICA;01º D.P. COTIA;Localização e/ou Devolução;Localização/Apreensão de veículo;;Consumado;;;;;;;;;;;;;;;;;;;;;0;0;;;
2022;1537401;1537401/2022;01/09/2022 04:39;01/09/2022 04:39;29/08/2022;04:10;DE MADRUGADA;29/08/2022;01/09/2022 04:39;Desconhecida;Não;1537400/2022 - 900020;RETORNO RUA NHAMBUCA;0;ZONA RURAL;COTIA;SP;-23,68350818;-47,05103709;Via pública;;APRECIAÇÃO DO DELEGADO TITULAR;DELEGACIA ELETRONICA;01º D.P. COTIA;Localização e/ou Devolução;Localização/Apreensão de veículo;;Consumado;;;;;;;;;;;;;;;;MUE8553;SP;GUARULHOS;Verde;FIAT/PALIO EL;1997;;AUTOMOVEL;;
2022;1537401;1537401/2022;01/09/2022 04:39;01/09/2022 04:39;29/08/2022;04:10;DE MADRUGADA;29/08/2022;01/09/2022 04:39;Desconhecida;Não;1537400/2022 - 900020;RETORNO RUA NHAMBUCA;0;ZONA RURAL;COTIA;SP;-23,68350818;-47,05103709;Via pública;;APRECIAÇÃO DO DELEGADO TITULAR;DELEGACIA ELETRONICA;01º D.P. COTIA;Título II - Patrimônio (arts. 155 a 183);Furto (art. 155) - VEICULO;;Consumado;;;;;;;;;;;;;;;;;;;;;0;0;;;
2022;1537401;1537401/2022;01/09/2022 04:39;01/09/2022 04:39;29/08/2022;04:10;DE MADRUGADA;29/08/2022;01/09/2022 04:39;Desconhecida;Não;1537400/2022 - 900020;RETORNO RUA NHAMBUCA;0;ZONA RURAL;COTIA;SP;-23,68350818;-47,05103709;Via pública;;APRECIAÇÃO DO DELEGADO TITULAR;DELEGACIA ELETRONICA;01º D.P. COTIA;Título II - Patrimônio (arts. 155 a 183);Furto (art. 155) - VEICULO;;Consumado;;;;;;;;;;;;;;;;MUE8553;SP;GUARULHOS;Verde;FIAT/PALIO EL;1997;;AUTOMOVEL;;
2022;3296;3296/2022;01/09/2022 07:26;01/09/2022 07:26;01/09/2022;;DE MADRUGADA;01/09/2022;01/09/2022 07:26;Desconhecida;Não;;RUA FRANÇA;33;TABOAO;DIADEMA;SP;-23,67711618;-46,60850519;Via pública;;BO PARA INVESTIGAÇÃO;03º D.P. DIADEMA;03º D.P. DIADEMA;Título II - Patrimônio (arts. 155 a 183);Furto (art. 155) - VEICULO;;Consumado;;;;;;;;;;;;;;;;CDO9E31;SP;DIADEMA;Vermelho;HONDA/BIZ 125 ES;2009;2009;MOTONETA;;
2022;4769;4769/2022;01/09/2022 07:33;01/09/2022 07:33;31/08/2022;;EM HORA INCERTA;01/09/2022;01/09/2022 07:33;Desconhecida;Não;;;0;QUITAUNA;OSASCO;SP;;;Via pública;;ENCAMINHAMENTO DP ÁREA DO FATO;05º D.P. OSASCO;01º D.P. OSASCO;Título II - Patrimônio (arts. 155 a 183);Furto (art. 155) - VEICULO;;Consumado;;;;;;;;;;;;;;;;RNM4G52;MG;BELO HORIZONTE;Branco;HYUNDAI/HB20S10TA EVOLUT;2021;2022;AUTOMOVEL;;
2022;1551107;1551107/2022;01/09/2022 07:36;01/09/2022 07:36;31/08/2022;10:20;PELA MANHÃ;31/08/2022;01/09/2022 07:36;Desconhecida;Não;1551106/2022 - 900020;Avenida Tambaqui;700;Sítio Tamboré/Jubran;BARUERI;SP;;;Via pública;;BO PARA INVESTIGAÇÃO;DELEGACIA ELETRONICA;DEL.POL.BARUERI;Título II - Patrimônio (arts. 155 a 183);Furto (art. 155) - VEICULO;;Consumado;;;;;;;;;;;;;;;;FSJ6267;SP;S.PAULO;Preta;VW/FOX 1.6 GII;2014;;AUTOMOVEL;;
2022;1552963;1552963/2022;01/09/2022 08:07;01/09/2022 08:07;31/08/2022;17:00;A TARDE;31/08/2022;01/09/2022 08:07;Desconhecida;Não;1552962/2022 - 900020;RUA DOUTOR HENRIQUE CALDERAZO;321;PARQUE CENTRAL;S.ANDRE;SP;-23,67016706;-46,53293287;Via pública;;BO PARA INVESTIGAÇÃO;DELEGACIA ELETRONICA;01º D.P. SANTO ANDRÉ;Título II - Patrimônio (arts. 155 a 183);Furto (art. 155) - VEICULO;;Consumado;;;;;;;;;;;;;;;;FIS1H13;SP;S.ANDRE;Preta;CHEVROLET/CRUZE LTZ NB;2013;;AUTOMOVEL;;
2022;1552316;1552316/2022;01/09/2022 08:13;01/09/2022 08:13;31/08/2022;16:10;A TARDE;31/08/2022;01/09/2022 08:13;Desconhecida;Não;1552315/2022 - 900020;Rua Senador Pompeu;5;Jardim Utinga;S.ANDRE;SP;;;Via pública;;BO PARA INVESTIGAÇÃO;DELEGACIA ELETRONICA;02º D.P. SANTO ANDRÉ;Título II - Patrimônio (arts. 155 a 183);Furto (art. 155) - VEICULO;;Consumado;;;;;;;;;;;;;;;;FEK6455;SP;S.BERNARDO DO CAMPO;Preta;I/CHEVROLET CLASSIC LS;2012;;AUTOMOVEL;;
2022;1550928;1550928/2022;01/09/2022 08:17;01/09/2022 08:17;31/08/2022;09:00;PELA MANHÃ;31/08/2022;01/09/2022 08:17;Desconhecida;Não;1550927/2022 - 900020;RUA TUPI;201;VILA VALPARAÍSO;S.ANDRE;SP;-23,67036693;-46,54973475;Via pública;;BO PARA INVESTIGAÇÃO;DELEGACIA ELETRONICA;06º D.P. S.BERNARDO DO CAMPO;Título II - Patrimônio (arts. 155 a 183);Furto (art. 155) - VEICULO;;Consumado;;;;;;;;;;;;;;;;FBF5845;SP;S.BERNARDO DO CAMPO;Branco;VW/NOVO FOX HL MD;2015;;AUTOMOVEL;;
2022;1552814;1552814/2022;01/09/2022 08:28;01/09/2022 08:28;31/08/2022;20:00;A NOITE;31/08/2022;01/09/2022 08:28;Desconhecida;Não;1552813/2022 - 900020;RUA MARQUESA DE SANTOS;52;VILA ASSUNÇÃO;S.ANDRE;SP;-23,6673356;-46,52228401;Via pública;;BO PARA INVESTIGAÇÃO;DELEGACIA ELETRONICA;03º D.P. SANTO ANDRÉ;Título II - Patrimônio (arts. 155 a 183);Furto (art. 155) - VEICULO;;Consumado;;;;;;;;;;;;;;;;EMN9036;SP;S.ANDRE;Prata;I/HYUNDAI I30 2.0;2009;;AUTOMOVEL;;
2022;1551405;1551405/2022;01/09/2022 08:37;01/09/2022 08:37;30/08/2022;02:32;DE MADRUGADA;31/08/2022;01/09/2022 08:37;Desconhecida;Não;1551404/2022 - 900020;Avenida Olga Benário;60;Conceição;OSASCO;SP;;;Via pública;;BO PARA INVESTIGAÇÃO;DELEGACIA ELETRONICA;02º D.P. OSASCO;Título II - Patrimônio (arts. 155 a 183);Furto (art. 155) - VEICULO;;Consumado;;;;;;;;;;;;;;;;PWO8856;SP;OSASCO;Branco;FORD/KA SE 1.0 HA;2015;;AUTOMOVEL;;
2022;1554420;1554420/2022;01/09/2022 09:05;01/09/2022 09:05;31/08/2022;19:00;A NOITE;01/09/2022;01/09/2022 09:05;Desconhecida;Não;;RUA LOBATO;676;CIDADE EDSON;SUZANO;SP;;;Via pública;;BO PARA INVESTIGAÇÃO;DELEGACIA ELETRONICA;DEL.POL.SUZANO;Título II - Patrimônio (arts. 155 a 183);Furto (art. 155) - VEICULO;;Consumado;;;;;;;;;;;;;;;;DUD3I71;SP;SUZANO;Prata;CHEV/ONIX 10MT LT1;2018;;AUTOMOVEL;;
